,industry,rank,search_city,search_job,avg_sal,years_exp,degrees_total,sen_job_titles_total,languages_total,visualization_total,big_data_total,cloud_total,platform_total,ds_concepts_total,deep_learning_totals,log_avg_sal
459,12,3.4,7,0,111500.0,7,2,1,0,0,0,0,0,1,0,11.621788838451959
460,12,4.1,7,0,98500.0,2,2,0,1,0,0,0,0,1,0,11.49782197939291
461,11,4.2,7,0,88000.0,2,1,0,0,1,0,0,0,0,0,11.385103457032141
462,14,3.9,7,0,83500.0,5,1,0,1,0,0,0,1,0,0,11.332613886815139
464,13,3.8,7,0,93000.0,5,2,0,0,0,0,0,0,0,0,11.440365524765756
465,5,4.8,7,0,106000.0,3,1,1,1,0,0,1,0,1,0,11.571203807011969
466,12,5.0,6,0,84000.0,5,2,0,2,0,0,1,0,1,0,11.338583982516495
467,5,3.5,6,0,55500.0,3,0,0,1,1,0,0,0,1,0,10.92415631759022
468,11,3.1,6,0,53000.0,4,1,0,1,1,0,0,1,1,0,10.87806606028079
469,13,3.8,6,0,100500.0,2,1,1,1,0,0,0,0,0,0,11.51792295668052
470,9,3.8,6,0,72500.0,5,0,1,0,0,0,1,0,0,0,11.19135563385109
471,13,4.3,6,0,74500.0,2,2,0,1,2,0,0,0,0,0,11.218567827096358
472,12,3.4,6,0,79500.0,3,1,1,0,0,0,0,0,0,0,11.283524879179666
473,13,4.3,6,0,75000.0,2,1,0,2,2,0,0,2,0,0,11.225256725762893
474,7,3.9,6,0,43500.0,3,1,0,2,0,0,1,3,1,0,10.680539205318292
475,14,3.6,6,0,61000.0,5,2,0,4,0,0,0,2,1,0,11.0186455364637
476,13,4.3,6,0,68000.0,5,2,1,1,1,0,0,0,1,0,11.127277689932466
478,5,4.0,6,0,67500.0,3,1,1,5,3,3,3,0,2,2,11.119897691565697
479,12,3.7,6,0,78000.0,5,1,0,3,1,0,0,0,1,0,11.264476926102367
480,5,4.0,6,0,71500.0,5,1,1,3,2,1,2,1,5,0,11.177466714598282
482,14,3.6,6,0,66000.0,3,1,0,1,0,0,0,0,1,0,11.097425172408931
483,24,4.2,6,0,72500.0,5,1,1,1,3,0,0,1,2,0,11.19135563385109
484,11,2.8,6,0,79000.0,6,2,1,3,3,0,0,0,3,0,11.277215789596893
485,22,4.0,6,0,77500.0,8,1,0,0,0,0,0,0,0,0,11.258046118484
486,9,3.5,6,0,77500.0,5,1,1,0,0,0,0,1,1,0,11.258046118484
